id,scope,name,tag_key,parent_id,sort_order,created_at,updated_at
filter-de-cigrons-66,filter,De Cigrons,De Cigrons,,66,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-cuatre-colors-67,filter,De Cuatre Colors,De Cuatre Colors,,67,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-dos-colors-3,filter,De Dos Colors,De Dos Colors,,3,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-home-10,filter,De Hombre,De Home,,10,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-tres-colors-6,filter,De Tres Colors,De Tres Colors,,6,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-de-una-en-una-brodat-39,filter,De Una En Una Brodat,De Una En Una Brodat,,39,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
filter-dibuix-vertical-8,filter,Dibuix Vertical,Dibuix Vertical,,8,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
header-archive,header,Archivo completo,,,0,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
header-calces-de-ratlles-0,header,Calces De Ratlles,Calces De Ratlles,c6d8e55d-c311-437b-92d9-b52fa1cbb916,0,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
header-calces-llisses-2,header,Calces Llisses,Calces Llisses,c6d8e55d-c311-437b-92d9-b52fa1cbb916,1,2025-11-14 11:07:31.29318+00,2025-11-14 11:07:31.29318+00
header-calces-mostraribrodades-1,header,Calces Mostraribrodades,Calces Mostraribrodades,,1,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
header-calces-sense-calats-5,header,Calces Sense Calats,Calces Sense Calats,,3,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
header-de-dos-colors-3,header,De Dos Colors,De Dos Colors,,2,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
header-de-tres-colors-6,header,De Tres Colors,De Tres Colors,,4,2025-11-14 11:07:31.100898+00,2025-11-14 11:07:31.100898+00
