id,name,description,price,color,type,material,care,origin,category,tags,sizes,photos,available,priority,created_at,updated_at,metadata,view_count,last_viewed_at
camelia,Camelia,Calcetines artesanales modelo Camelia.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Brodats En El Teler,"[""Brodats En El Teler"",""Com Es Broda""]",[],0,false,1000,2025-11-14 10:29:11.388904+00,2025-11-15 18:37:30.843+00,"{""imagePlaceholders"":{""/images/products/camelia_001.jpeg"":""data:image/webp;base64,UklGRuAAAABXRUJQVlA4INQAAABwBQCdASoYABgAPu1oqk+ppiOiKA1RMB2JQBdmYwS4YYHQskSqYEoil40U+kPBELVvzpIAAP6aTHkXM0N5PvLcc738QvthQTlqcAG/oQnhVWDBp9a8n00gI2/oh5RkEnf4mPrrGH5VyslKr8wi9EAg4poVdKXGo13EIjYYp2gKUF1n4mQKHl2PPXQkP7JFUrVJ17QcMd1PSgPZC7WibsuNVorIG18DlwuCPZetY56wLnvvmhp3fBfL9IIackJW66xRu56+3ynRAiO/9he4C4gb9FoAAA=="",""/images/products/camelia_009.jpeg"":""data:image/webp;base64,UklGRvQAAABXRUJQVlA4IOgAAAAQBgCdASoYABgAPu1urlKppiQiqAgBMB2JYgCdMuivXbQQUDtDGGsdOvonXj9wKr9t878YPcOlOAAA/K/uCrvY5ezhfhEj2pUWtpZnyiZjCFCZfQhidIsicMf9ds81PZsVc7VmUMr2eGWfQiXHiV3fAW9DaOt3BZaQWdHhalgaf7v96UeLLc0PTitiH++FYNE6KDr/Y/AT2Ei9wO3xE3ZTkO6xU5tUJsBqZvhsJg1vLeebyM5zYSdTSw/Gx+SsW102M8wOT0ZrUBnbGF4RqcuHXs7/ADi0XWu3zbTFuDmYCQA5KIYEgAAA""}}",2,2025-11-16 12:28:23.163094+00
camforer,Camforer,Calcetines artesanales modelo Camforer.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades"",""Color 151""]",[],0,false,1000,2025-11-14 10:29:11.459629+00,2025-11-15 18:37:31.827+00,"{""imagePlaceholders"":{""/images/products/camforer_001.jpg"":""data:image/webp;base64,UklGRqwAAABXRUJQVlA4IKAAAAAwBQCdASoYABgAPu1mq1AppSOisBgIATAdiWoAwNwzQYOTbZ+Xi40l0yXAIltKnpicAAD+8N70yps/RL1XneT97mqSmq41Y46+uvZxv+Wr10gPxbjA5k+EejYT+15qnQRRUjuFQ9tsaBvu4yFwzMQ8EacGEigrXlGTPJwDX/1eKw+n7bOb8fa2EE5EW2AK2h4QJcj8Tu/KvQDb8Xn0wAAA"",""/images/products/camforer_002.jpg"":""data:image/webp;base64,UklGRpYAAABXRUJQVlA4IIoAAAAQBQCdASoYABgAPu1sqk6ppqOiMBgIATAdiWIAvzn8AGY0Yt96Lu1k396j77cRJXHgAP7MEWS3X4fW3PeJikjJV0mCNdH0fgQSn9HSJq9d88glco0dMPAScm+5Ug8BoCbsO+teYikIjKgcCRxV+9S/J8sfad/lONYlGe4hOQXEqDSgg76NYEAfwAA="",""/images/products/camforer_003.jpg"":""data:image/webp;base64,UklGRpgAAABXRUJQVlA4IIwAAADwBACdASoYABgAPt1WpU2opKOiN/qoARAbiWQAnTLHQoHkRu+f/rwpgnOqOBVpCQAA/ukeCq7mtbxqXAprnBsQ6FRM5m2NDHikFw9NxF+TExTz/Dptiz2EDwB2MCv2nk9URRFSSkGogJD/YQnCJbFo6fvOH2Cgv7kuUPC4HEhGxk7BgWiofUuRogAAAA==""}}",0,
cami-reial,Cami Reial,Calcetines artesanales modelo Cami Reial.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:11.538703+00,2025-11-15 18:37:32.089+00,"{""imagePlaceholders"":{""/images/products/cami-reial_001.jpg"":""data:image/webp;base64,UklGRr4AAABXRUJQVlA4ILIAAABwBACdASoYABgAPuFgqE2opaQiMAwBEBwJaACnFBE00yk/C6KQI9zFWM2NuAD+e8v4DMu3M06IReEyBLpajhy3JOov9zPZXB+ScyBwXP9HS0q/A2lja5J7MB9tw+quE3bMc4fPf1xoLK17CEER/pwcBr941TfGHK9GrQJgtU58UQxJ62rB0KKCttvfau7vkJhS1UYL0QhVoplLY2PKsvkH47yEVPmGiZ33Zl0PADWAtUAA""}}",2,2025-11-16 12:20:47.211369+00
campanula,Campanula,Calcetines artesanales modelo Campanula.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Mostraribrodades,"[""Calces Mostraribrodades""]",[],0,false,1000,2025-11-14 10:29:11.606068+00,2025-11-15 18:37:32.99+00,"{""imagePlaceholders"":{""/images/products/campanula_001.jpg"":""data:image/webp;base64,UklGRogAAABXRUJQVlA4IHwAAAAQBQCdASoYABgAPu1qqVAppiOiqA1RMB2JYwC/OBE2StwLQVMKfZTk82BudrmHrItgAP7o4y0MCUo/nHBPnQu48grQ06BivEGTyQdWLJLoWotUPjixeSAUbJCRpalsws+B1aArjxrgbhdwZuFD5wVUqo0HmeAp15fIugAA"",""/images/products/campanula_002.jpg"":""data:image/webp;base64,UklGRooAAABXRUJQVlA4IH4AAAAQBQCdASoYABgAPu1kq02ppaQiMBgMATAdiWMApIAQpueCMhnS+FD1y0zam+SaVXgAAP7i5j7IpgPpDEtsSimkYgubGvmUQ3axO0jmqvpltoNhd6RBCFGLzLuCDfTYCyOpDJUzas4W+LpRj3l2qaUzM4lDmWaxeQAxXsAAAAA=""}}",2,2025-11-16 14:43:17.145109+00
cantacuc,Cantacuc,Calcetines artesanales modelo Cantacuc.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,De Dos Colors,"[""De Dos Colors""]",[],0,false,1000,2025-11-14 10:29:11.693117+00,2025-11-16 11:50:23.123+00,"{""imagePlaceholders"":{""/images/products/cantacuc_001.jpg"":""data:image/webp;base64,UklGRpYAAABXRUJQVlA4IIoAAAAwBACdASoYABgAPt1WpE2opKOiN/qoARAbiWMAt7gcbg+6+bEjKl8PwgAA/vHgl8my4w5eN+6e1BHYZAvt8ZpUIwDeFDC4c1DsVZbR27Ljc95Jv+7WpzPI0WCLEmz5e5PrbQREYSOsE0tsFefuhRoLmsGEjqc+U6jlV3r1ZG8UpNYhM2eddFe2YAA="",""/images/products/cantacuc_002.jpg"":""data:image/webp;base64,UklGRpYAAABXRUJQVlA4IIoAAAAwBACdASoYABgAPt1WpE2opKOiN/qoARAbiWMAt7gcbg+6+bEjKl8PwgAA/vHgl8my4w5eN+6e1BHYZAvt8ZpUIwDeFDC4c1DsVZbR27Ljc95Jv+7WpzPI0WCLEmz5e5PrbQREYSOsE0tsFefuhRoLmsGEjqc+U6jlV3r1ZG8UpNYhM2eddFe2YAA="",""/images/products/cantacuc_003.jpg"":""data:image/webp;base64,UklGRpYAAABXRUJQVlA4IIoAAAAwBACdASoYABgAPt1WpE2opKOiN/qoARAbiWMAt7gcbg+6+bEjKl8PwgAA/vHgl8my4w5eN+6e1BHYZAvt8ZpUIwDeFDC4c1DsVZbR27Ljc95Jv+7WpzPI0WCLEmz5e5PrbQREYSOsE0tsFefuhRoLmsGEjqc+U6jlV3r1ZG8UpNYhM2eddFe2YAA="",""/images/products/cantacuc_004.jpg"":""data:image/webp;base64,UklGRuYAAABXRUJQVlA4INoAAAAwBgCdASoYABgAPu1orE8ppiQiMBgIATAdiWwAnTLdc0SAHlDYd8CwyFisWTjiaPEOKua36LIvclkAAP5WqHXZqGm3QihGCFqtCEFD0EELstgant1OnYi0dfj1dW337zZciQP5/bCudTvch3OlmLs3AoEJqQeQ3zAr/+9Mv+PUE3/5aEM/8j7/id+Tf48Sn4f5ZRkhUzTswQd9DnKnK3vgRJAxeJ0SAs5ZTTHSzKN/UcsK3b73EIbtjW8+//wuI8ngUUedcjSclM8QHXrlMi/qNsOpVTgLtzoAAA=="",""/images/products/cantacuc_005.jpg"":""data:image/webp;base64,UklGRuYAAABXRUJQVlA4INoAAAAwBgCdASoYABgAPu1orE8ppiQiMBgIATAdiWwAnTLdc0SAHlDYd8CwyFisWTjiaPEOKua36LIvclkAAP5WqHXZqGm3QihGCFqtCEFD0EELstgant1OnYi0dfj1dW337zZciQP5/bCudTvch3OlmLs3AoEJqQeQ3zAr/+9Mv+PUE3/5aEM/8j7/id+Tf48Sn4f5ZRkhUzTswQd9DnKnK3vgRJAxeJ0SAs5ZTTHSzKN/UcsK3b73EIbtjW8+//wuI8ngUUedcjSclM8QHXrlMi/qNsOpVTgLtzoAAA=="",""/images/products/cantacuc_006.jpg"":""data:image/webp;base64,UklGRuYAAABXRUJQVlA4INoAAAAwBgCdASoYABgAPu1orE8ppiQiMBgIATAdiWwAnTLdc0SAHlDYd8CwyFisWTjiaPEOKua36LIvclkAAP5WqHXZqGm3QihGCFqtCEFD0EELstgant1OnYi0dfj1dW337zZciQP5/bCudTvch3OlmLs3AoEJqQeQ3zAr/+9Mv+PUE3/5aEM/8j7/id+Tf48Sn4f5ZRkhUzTswQd9DnKnK3vgRJAxeJ0SAs5ZTTHSzKN/UcsK3b73EIbtjW8+//wuI8ngUUedcjSclM8QHXrlMi/qNsOpVTgLtzoAAA=="",""/images/products/cantacuc_007.jpg"":""data:image/webp;base64,UklGRuYAAABXRUJQVlA4INoAAAAwBgCdASoYABgAPu1orE8ppiQiMBgIATAdiWwAnTLdc0SAHlDYd8CwyFisWTjiaPEOKua36LIvclkAAP5WqHXZqGm3QihGCFqtCEFD0EELstgant1OnYi0dfj1dW337zZciQP5/bCudTvch3OlmLs3AoEJqQeQ3zAr/+9Mv+PUE3/5aEM/8j7/id+Tf48Sn4f5ZRkhUzTswQd9DnKnK3vgRJAxeJ0SAs5ZTTHSzKN/UcsK3b73EIbtjW8+//wuI8ngUUedcjSclM8QHXrlMi/qNsOpVTgLtzoAAA==""}}",1,2025-11-16 14:46:58.615164+00
canyis,Canyis,Calcetines artesanales modelo Canyis.,45.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces Llisses,"[""Calces Llisses"",""Color 194""]",[],0,false,1000,2025-11-14 10:29:11.76932+00,2025-11-16 11:50:32.694+00,"{""imagePlaceholders"":{""/images/products/canyis_001.jpg"":""data:image/webp;base64,UklGRmwAAABXRUJQVlA4IGAAAABwBACdASoYABgAPuVepk2pJSOiN/VYASAciUAWI+X4Jqc2nKMZtv5vo4QiAAD+Ut9o2TqOGTqGa03yzYdrJHPpG0FV/SFnAEw9RXCl4rhtFgSG987lCmIAyW9yBLEsMAA="",""/images/products/canyis_002.jpg"":""data:image/webp;base64,UklGRlwAAABXRUJQVlA4IFAAAAAwBACdASoYABgAPuFeqk2opSQmMAwBEBwJQBOmaFhNUZH1enZ06ya7OPAA+I1OCeNdtfsuXFHJ/BOQTVI7vN2JvtoKltKlu5w69+rcLBwAAA==""}}",1,2025-11-16 16:04:28.187816+00
cap-roig,Cap Roig,Calcetines artesanales modelo Cap Roig.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces De Ratlles,"[""Calces De Ratlles""]",[],0,false,1000,2025-11-14 10:29:11.851713+00,2025-11-16 11:50:41.79+00,"{""imagePlaceholders"":{""/images/products/cap-roig_001.jpg"":""data:image/webp;base64,UklGRqQAAABXRUJQVlA4IJgAAABQBQCdASoYABgAPu1iqE2ppaOiMAgBMB2JZQC7Ef/7oABNIZ1QJ+BR5YNd5UCiq8+diAAA/rkrWBnsKCKDMxr5xxkJL28LClLL36MB5DSGN0rk2sRe93Ap8/aNTboB17yeURAdXN23j6PkCpGxje+GwA4fXWb/fRZIXTNBfInlAOgC+DYQ1zXP0BkxqZmZfyaD1oKUXd9gAA=="",""/images/products/cap-roig_002.jpg"":""data:image/webp;base64,UklGRmgAAABXRUJQVlA4IFwAAADwAwCdASoYABgAPtleok2oJaMiN/qoAQAbCWMAvzgscd+zVVDaSygAAP7XKcn6JJjZu8WvGgv32LrD9XF0Cfi1BP0mykLOODHUCRpyMvhWWb0Ho6aG5uHReIAAAA=="",""/images/products/cap-roig_003.jpg"":""data:image/webp;base64,UklGRmgAAABXRUJQVlA4IFwAAADwAwCdASoYABgAPtleok2oJaMiN/qoAQAbCWMAvzgscd+zVVDaSygAAP7XKcn6JJjZu8WvGgv32LrD9XF0Cfi1BP0mykLOODHUCRpyMvhWWb0Ho6aG5uHReIAAAA=="",""/images/products/cap-roig_004.jpg"":""data:image/webp;base64,UklGRmgAAABXRUJQVlA4IFwAAADwAwCdASoYABgAPtleok2oJaMiN/qoAQAbCWMAvzgscd+zVVDaSygAAP7XKcn6JJjZu8WvGgv32LrD9XF0Cfi1BP0mykLOODHUCRpyMvhWWb0Ho6aG5uHReIAAAA=="",""/images/products/cap-roig_005.jpg"":""data:image/webp;base64,UklGRqgAAABXRUJQVlA4IJwAAABwBQCdASoYABgAPu1oqU8ppiOiMBgIATAdiWMAxNgMm66I4JPXwzIM1XZXbWvECYtjqs8AAP6YgEXIW+3RVQBXJhJtyEG71HQIZugMmF8SuELl4OAuOGULbGka1vhHn34C4Y9PJoWDEAo6eXzizWjJFK0qU8ES295NyG83CfGXcv+yl//WS+c90psdgGIH2EwzmY5TYp+JpINAAAA="",""/images/products/cap-roig_006.jpg"":""data:image/webp;base64,UklGRqgAAABXRUJQVlA4IJwAAABwBQCdASoYABgAPu1oqU8ppiOiMBgIATAdiWMAxNgMm66I4JPXwzIM1XZXbWvECYtjqs8AAP6YgEXIW+3RVQBXJhJtyEG71HQIZugMmF8SuELl4OAuOGULbGka1vhHn34C4Y9PJoWDEAo6eXzizWjJFK0qU8ES295NyG83CfGXcv+yl//WS+c90psdgGIH2EwzmY5TYp+JpINAAAA="",""/images/products/cap-roig_007.jpg"":""data:image/webp;base64,UklGRqYAAABXRUJQVlA4IJoAAACwBACdASoYABgAPu1ur1IppiQiqAgBMB2JQBbZAfwthKXmE/DBgKv6fqDeyeAAAP655hjPUST+R7FzV+GxYNq6/FqerEtaNrq+uOs/9c3k0NUZLnk+j3aKI9mAevVG2BfPVVXMDMKe+sQ6oCBV+scBZ5rRhH7NtrNm0DeAiBybFpmcpEsy6wn+c+BhfwJFhkkUByB++lGGbAAA"",""/images/products/cap-roig_008.jpg"":""data:image/webp;base64,UklGRqYAAABXRUJQVlA4IJoAAACwBACdASoYABgAPu1ur1IppiQiqAgBMB2JQBbZAfwthKXmE/DBgKv6fqDeyeAAAP655hjPUST+R7FzV+GxYNq6/FqerEtaNrq+uOs/9c3k0NUZLnk+j3aKI9mAevVG2BfPVVXMDMKe+sQ6oCBV+scBZ5rRhH7NtrNm0DeAiBybFpmcpEsy6wn+c+BhfwJFhkkUByB++lGGbAAA"",""/images/products/cap-roig_009.jpg"":""data:image/webp;base64,UklGRqYAAABXRUJQVlA4IJoAAACwBACdASoYABgAPu1ur1IppiQiqAgBMB2JQBbZAfwthKXmE/DBgKv6fqDeyeAAAP655hjPUST+R7FzV+GxYNq6/FqerEtaNrq+uOs/9c3k0NUZLnk+j3aKI9mAevVG2BfPVVXMDMKe+sQ6oCBV+scBZ5rRhH7NtrNm0DeAiBybFpmcpEsy6wn+c+BhfwJFhkkUByB++lGGbAAA"",""/images/products/cap-roig_010.jpg"":""data:image/webp;base64,UklGRsIAAABXRUJQVlA4ILYAAAAQBQCdASoYABgAPu1oqU+ppiOiKA1RMB2JagCdAAxV1UfHEwDvhCs9qEvjcfYAIMc4AP5UMN0AGKLF1PO+YWH8B4UMpmSDkQ2eZzOY4ZED+R7f1PFU06xXzdqi5/lEvEoSMYTJBengTpvE/DnDvA7fetuxYtnnmsSkKFLNgR/QzlGMjYl5UGrw9pO0pJrzTPqa1T+d+0x/J3iMB/7mKfJks+ubIITbWVsdDsk8RJD0p6xInAAAAA=="",""/images/products/cap-roig_011.jpg"":""data:image/webp;base64,UklGRsIAAABXRUJQVlA4ILYAAAAQBQCdASoYABgAPu1oqU+ppiOiKA1RMB2JagCdAAxV1UfHEwDvhCs9qEvjcfYAIMc4AP5UMN0AGKLF1PO+YWH8B4UMpmSDkQ2eZzOY4ZED+R7f1PFU06xXzdqi5/lEvEoSMYTJBengTpvE/DnDvA7fetuxYtnnmsSkKFLNgR/QzlGMjYl5UGrw9pO0pJrzTPqa1T+d+0x/J3iMB/7mKfJks+ubIITbWVsdDsk8RJD0p6xInAAAAA=="",""/images/products/cap-roig_012.jpg"":""data:image/webp;base64,UklGRsIAAABXRUJQVlA4ILYAAAAQBQCdASoYABgAPu1oqU+ppiOiKA1RMB2JagCdAAxV1UfHEwDvhCs9qEvjcfYAIMc4AP5UMN0AGKLF1PO+YWH8B4UMpmSDkQ2eZzOY4ZED+R7f1PFU06xXzdqi5/lEvEoSMYTJBengTpvE/DnDvA7fetuxYtnnmsSkKFLNgR/QzlGMjYl5UGrw9pO0pJrzTPqa1T+d+0x/J3iMB/7mKfJks+ubIITbWVsdDsk8RJD0p6xInAAAAA=="",""/images/products/cap-roig_013.jpg"":""data:image/webp;base64,UklGRsIAAABXRUJQVlA4ILYAAAAQBQCdASoYABgAPu1oqU+ppiOiKA1RMB2JagCdAAxV1UfHEwDvhCs9qEvjcfYAIMc4AP5UMN0AGKLF1PO+YWH8B4UMpmSDkQ2eZzOY4ZED+R7f1PFU06xXzdqi5/lEvEoSMYTJBengTpvE/DnDvA7fetuxYtnnmsSkKFLNgR/QzlGMjYl5UGrw9pO0pJrzTPqa1T+d+0x/J3iMB/7mKfJks+ubIITbWVsdDsk8RJD0p6xInAAAAA=="",""/images/products/cap-roig_014.jpg"":""data:image/webp;base64,UklGRsgAAABXRUJQVlA4ILwAAABQBQCdASoYABgAPu1kqU2ppaOiMAgBMB2JbACsIMgDG0gXrq9GkJz42FZ6aBZtehZ10AAAzj8cUUpC0PIp9hpEgk8QmxFLamAZo8bbXFirhjN8TDb99HERUVvXzxuyaab7mCH7nqbJdgtXmdsV/6u06ul2O4mjdLbZiGp2vLmtFclGl1MOPgSe9jRdvvbQPNeY5T83QErBtGbT9CrgI60BkV7RZlLOKt7lqkM0fKyF4osrev5pU1/K1H8AAA=="",""/images/products/cap-roig_015.jpg"":""data:image/webp;base64,UklGRsgAAABXRUJQVlA4ILwAAABQBQCdASoYABgAPu1kqU2ppaOiMAgBMB2JbACsIMgDG0gXrq9GkJz42FZ6aBZtehZ10AAAzj8cUUpC0PIp9hpEgk8QmxFLamAZo8bbXFirhjN8TDb99HERUVvXzxuyaab7mCH7nqbJdgtXmdsV/6u06ul2O4mjdLbZiGp2vLmtFclGl1MOPgSe9jRdvvbQPNeY5T83QErBtGbT9CrgI60BkV7RZlLOKt7lqkM0fKyF4osrev5pU1/K1H8AAA=="",""/images/products/cap-roig_016.jpg"":""data:image/webp;base64,UklGRpgAAABXRUJQVlA4IIwAAAAQBQCdASoYABgAPuVio02pJaMiMAwBIByJZQDH5Htdz58V6KSmmAsUD0+dg3e0xzHQAP7oxKczP8/a39VOZ+7Dm5gZefdEMh0ch1dTxi5YHpRy+/Jk2ZW26O6ThPY9mcIRdUVeg95Au6obZ7rLWVhbS7AiH5y/W4JPszK1rnk22z7puFjQZ/WghtvwAA==""}}",2,2025-11-16 13:15:34.224372+00
caroig,Caroig,Calcetines artesanales modelo Caroig.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces De Ratlles,"[""Calces De Ratlles"",""Color 188"",""Color 199""]",[],0,false,1000,2025-11-14 10:29:11.929643+00,2025-11-16 11:50:46.551+00,"{""imagePlaceholders"":{""/images/products/caroig_001.jpg"":""data:image/webp;base64,UklGRooAAABXRUJQVlA4IH4AAADQBACdASoYABgAPu1ur1KppiQiqAgBMB2JYgCdMy/BZeYFOJUwuvYREK85S7sqAAD+U/aXr07jhBfosaTu/6PoUjUMBXgr+JM/9JKupbZsUrylRTYCVZpNHZYZOx9spZkYMOXThAumXYTmGPoe6s3cSh1cAco0hsf6KnjMgAA="",""/images/products/caroig_002.jpg"":""data:image/webp;base64,UklGRooAAABXRUJQVlA4IH4AAADQBACdASoYABgAPu1ur1KppiQiqAgBMB2JYgCdMy/BZeYFOJUwuvYREK85S7sqAAD+U/aXr07jhBfosaTu/6PoUjUMBXgr+JM/9JKupbZsUrylRTYCVZpNHZYZOx9spZkYMOXThAumXYTmGPoe6s3cSh1cAco0hsf6KnjMgAA="",""/images/products/caroig_003.jpg"":""data:image/webp;base64,UklGRoQAAABXRUJQVlA4IHgAAABwBACdASoYABgAPu1oq06ppiQiKA1RMB2JQBadAYoTNnUqAg5O3gpuNs9wgAD9z1bF/fCG6x7j8ubcyklRr+toD+/7Gm58zsqx3X3KYeXebouXB20ho4RfECx2cwS/uR6MSLnMAtGyv7L94tC77XCsVWzpLT2AAAA="",""/images/products/caroig_004.jpg"":""data:image/webp;base64,UklGRqYAAABXRUJQVlA4IJoAAADwBACdASoYABgAPu1gpk4ppSMiMBgMATAdiWUAzjmMWEJyMoigysHZlBmIx0ph1oAA6OnB/R2tGN1v0QznYvXqrlEHEFQeFlSmZhfY4nAcVCmT5RlGj4IYfcWSQ2vo4RC54dq6mO3W6g1ehMrl8vbmNm2gXR/8Oqh3P7B73UB6oCY83+ALx8lZea2ccYel/5cGaXs1DJ5J1mAA"",""/images/products/caroig_005.jpg"":""data:image/webp;base64,UklGRsgAAABXRUJQVlA4ILwAAADwBACdASoYABgAPu1srlIppaQiqAgBMB2JYwCdAYyASmbRJ8Mi+uv2iDC1exjdAAAA74ZFOvvocpeNzunbxKXXS209m7VAJAXGYsS5E4HlRDj2LTMoZdhSMxAIjZieU+dYqk9GFV05/w94ntPG3lEaFnizESBQ3yr2Jb5ax+/BPAhMGB1MsPrqYOMc5bT5etWf/SzY0ZDMJCL8H7f/t0v8xMfVbelT8s3t11ZWS8jK5nW1Pc1wHW/hACYAAA=="",""/images/products/caroig_006.jpg"":""data:image/webp;base64,UklGRrgAAABXRUJQVlA4IKwAAADwBACdASoYABgAPulcp02pJSOiN/VYASAdCWMAtsgNvJ3ce+bN1CEcM0q4916FbgAA/dJ5NQklQ6cZNg5QD1IDGIHF0x0/OdZAz5Kpds0lN2Iyw6GG6YcGzLeGWJ9nKrdaAONxFRlY7BXhvQSrFGo6CcnYYL0D07QV31nas7CtzhIThygEoP5yCrCGaOOxO6TjFVr1+5HbJv82xqTGFxyUbiC10VbPpuQ/IAAA"",""/images/products/caroig_007.jpg"":""data:image/webp;base64,UklGRrgAAABXRUJQVlA4IKwAAADwBACdASoYABgAPulcp02pJSOiN/VYASAdCWMAtsgNvJ3ce+bN1CEcM0q4916FbgAA/dJ5NQklQ6cZNg5QD1IDGIHF0x0/OdZAz5Kpds0lN2Iyw6GG6YcGzLeGWJ9nKrdaAONxFRlY7BXhvQSrFGo6CcnYYL0D07QV31nas7CtzhIThygEoP5yCrCGaOOxO6TjFVr1+5HbJv82xqTGFxyUbiC10VbPpuQ/IAAA""}}",2,2025-11-16 12:59:40.354465+00
carraixet,Carraixet,Calcetines artesanales modelo Carraixet.,48.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces De Ratlles,"[""Calces De Ratlles"",""Color 109"",""Color 199""]",[],0,false,1000,2025-11-14 10:29:12.016136+00,2025-11-16 11:50:51.037+00,"{""imagePlaceholders"":{""/images/products/carraixet_001.jpg"":""data:image/webp;base64,UklGRpIAAABXRUJQVlA4IIYAAACQBACdASoYABgAPu1mq06ppaOiKA1RMB2JZwDLaAovVeutlwWNJx4OVlRae7gAzRB4Vx0rAwz7SXEkweOJGgGAUql1zM+K7HLFoz3YnpmipLJsOg2tgl3KX36/XVrT4S+9JsIy68H4A/EHdqmu8CcxEZABESZg9AYG+FTDuoEGBI4azxgAAA=="",""/images/products/carraixet_002.jpg"":""data:image/webp;base64,UklGRrAAAABXRUJQVlA4IKQAAAAwBQCdASoYABgAPu1krE4ppaSiKA1RMB2JZwAIEC6Ii4Kq/Jck6kNke2EUgldVc6KEAAD9zynBRKl13L+aRV0h4mcpeGddJIZbLhu4gjg0wSH77kcs7v4Wl+51DpRf1/lgu1n5h+Af0plx/fPJxIAvqhKJNCkWWWLXO0HNrYCFKH/7t48wKFPBKD3IFxUm9XZ0uLAxe/rr3Y0U0fQqQz3pFqAgAA==""}}",2,2025-11-16 16:17:56.660745+00
cartes-de-colors,Cartes De Colors,Calcetines artesanales modelo Cartes De Colors.,0.00,Multicolor,Calcetines artesanales,Algodón artesanal,"Lavar a mano con agua fría, no usar secadora",Tejidos artesanalmente en España,Calces De Ratlles,"[""Calces De Ratlles""]",[],0,false,1000,2025-11-14 10:29:12.141993+00,2025-11-15 18:37:41.829+00,"{""imagePlaceholders"":{""/images/products/cartes-de-colors_001.jpg"":""data:image/webp;base64,UklGRh4BAABXRUJQVlA4IBIBAAAwBgCdASoYABgAPu1qrFEppaQiqAqpMB2JbACdMxx+ItS9oCqA93o/8j5LTWRn4vyOo0h93z0Y70oAAP7tsHuozplIyWRWDRdwSJUuNdvBCtr+S1TelQUVEJosONJA9niLGkG1uanrkHU16/2FGkojoE0YDXlUNw3IYTiwcqD791zztUdHJTlC1BTPX3zxhHa83VP1IXAQDcDBK+GfzmYrm+3EujqDtvHGmm6Z9QC9AMlcS5vT5rLsHqIGDa7XFSvCq2AeKPiPl8O5ZkSwbfGzCm5b+iqZnSsHqk2n7ebCeObUvgnHdNnBzNWyFBJ6YNBxzte+0kPtbD8lnF124q33myi4p+Qve52AgzwDooEKIAAA"",""/images/products/cartes-de-colors_002.jpg"":""data:image/webp;base64,UklGRjYBAABXRUJQVlA4ICoBAADwBQCdASoYABgAPu1qqFAppaOiqA1RMB2JZgCdMuLIOcGoqkenbzCFHg5IDpSEvovZ9K3hPUdDYAD+mCp2nWAcNnXsVWCXFuWd4h2maIV2SwrJrsPjgK7JZGWUL+xpttjkmemaZvwXFE4epFZN6B/Z90v0No+Pk6sIzZ2MRNuEMCj5GOgqvr9V9h8DGJg8sm6eCEGQxIriCCfp8jfm1hXPJVp5nqn4S9feX2ZZ152/cc9DUOPQsfSymLeuxHu7sAnnUEVdOVEIBHh012ewxiy28hTWS/Fi5OHqwxMtk6n76zhppJqPz6URdNcSN66YjinAcRiPEhye3+b6tZWSNXFcBcqe24wfXNx1QD6xgad354qa+9+XqOiKI2r1GfiQas+l+ehX2rgAAwAA""}}",1,2025-11-16 15:24:32.503082+00
